listings;url;guests; bedrooms; beds; bathrooms;room_type;price;host_name;reviews;stars;location;latitude;longitude
Lovely Old Town Flat with Terrace & Mountain View;https://www.airbnb.com.ro/rooms/28322797?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588233799_xxsgwgxMri09Jpnc&guests=1&adults=1;4;1;1;1;Entire home;335;Andrei;33;4.91;Brasov, Romania;4564132;2559501
Lovely 1 near to centre perfect for couples.;https://www.airbnb.com/rooms/30638401?location=Brasov&check_in=2020-07-10&check_out=2020-07-11&previous_page_section_name=1000&federated_search_id=3ea7763b-0b08-4fe4-8f0e-0bb1e99b2661;2;1;1;1;Entire home;110;Andreea;137;4.72;Brasov, Romania;4564576;2559794
Lucky 1 for 5 people;https://www.airbnb.com.ro/rooms/26144183?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588246710_ELgitrDkT30CF7Z%2B&guests=1&adults=1;3;1;2;1;Entire home;242;Iulia;1;0;Brasov, Romania;4564861;2558308
Luky 12 cozy 1 on main pedestrian street;https://www.airbnb.com.ro/rooms/24206337?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588147513_0b26QGYCBUL%2F%2FYYE&guests=1&adults=1;2;1;1;1;Entire home;165;George;44;4.70;Brasov, Romania;4564414;2559326
Luky 13 cozy 1 on main pedestrian street;https://www.airbnb.com.ro/rooms/28906378?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588140776_5wxWpVJzeF5hLCYd&guests=1&adults=1;2;1;1;1;Entire home;160;George;43;4.84;Brasov, Romania;4564414;2559326
Luky 9 near by central historical town;https://www.airbnb.com.ro/rooms/31344987?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588065254_RVDyXWIs4nxICfV%2B&guests=1&adults=1;2;1;1;1;Entire home;170;George;9;4.89;Brasov, Romania;4564392;2559659
Luna Apartament -   1;https://www.airbnb.com.ro/rooms/39715078?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588160865_tubDf3R%2FrCZGYpAr&guests=1&adults=1;4;1;2;2;Private room in apartament;99;Bianca&Robert;5;4.60;Brasov, Romania;4563282;2560496
Luna apartament -  2;https://www.airbnb.com.ro/rooms/39733710?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588158467_lDRbfWg2PdQLFgHN&guests=1&adults=1;2;1;1;1;Entire home;99;Bianca&Robert;4;3.75;Brasov, Romania;4563282;2560496
Luna apartament -  4;https://www.airbnb.com.ro/rooms/39851388?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588147006_hM8%2B9D6W2pqFidMd&guests=1&adults=1;2;1;1;2;Entire home;99;Bianca&Robert;10;4.90;Brasov, Romania;4563282;2560496
Luna entier Apartament ;https://www.airbnb.com.ro/rooms/42470469?location=Brasov%2C%20Bra%C8%99ov%2C%20Ruman%C3%ADa&check_in=2020-07-04&check_out=2020-07-05&source_impression_id=p3_1588083942_R4bxDhGI9FhyUh%2Fa&guests=1&adults=1;10;4;5;2;Entire home;470;Bianca&Robert;0;0;Brasov, Romania;4563282;2560496
